student_id,first_name,age,gpa,favorite_pet,voted,birthdate
2423,Joshua,115,3.3,dug,1,30-Aug
3288,Ava,109,2.1,dog,1,15-Feb
3977,Mohammed,107,2.6,snake,1,11-Feb
3532,Olivia,89,4,dog,1,2-Nov
1166,Duane,88,3,parrot,0,10-Sep
1243,Amy,22,3.9,cat,1,3-Apr
2571,Megan,22,3.8,cqt,1,3-Nov
1541,Susan,22,2.3,cat,0,9-Jan
4731,Wei,22,3.7,dog,1,13-Dec
4477,Wei,22,2.5,cat,1,31-Oct
1530,George,22,2.2,dog,0,30-Mar
4822,Carlos,22,2.1,dog,0,3-Nov
2573,Michelle,22,2.1,goldfish,1,7-Apr
4580,Fatima,22,3.9,dog,0,28-Aug
4296,Ivan,22,2.7,rabbit,1,18-Mar
1690,Mariah,22,3.1,dog,1,23-Dec
3805,Fatima,22,2.8,cat,1,12-May
151,Billy,22,2.2,cat,1,9-Apr
1021,Catherine,22,3,cat,0,18-Aug
1510,Krystal,22,2.9,goldfish,1,4-Aug
1931,Hannah,22,3.5,parrot,1,21-Mar
4336,Fatima,22,3.4,parrot,1,3-Sep
2489,Walter,22,3.1,cat,1,24-Jul
3143,Wei,22,3.3,cat,1,8-Apr
1246,Sierra,22,3.5,hamster,1,1-May
836,Ryan,22,3.6,dog,1,4-Sep
2741,Diamond,22,2.8,dog,1,11-Sep
1268,Susan,22,3.1,cat,1,13-Jul
2275,Jody,22,3.4,cat,1,18-Jul
205,Mitchell,22,3.2,cat,1,20-Aug
933,Misty,22,3.4,snake,1,6-Jun
1245,Danielle,22,2.6,dog,0,3-Apr
4253,Wei,22,3.4,snake,1,26-Jan
4304,Mohammed,22,3.4,dog,0,16-Apr
4768,Carlos,22,3,dog,1,12-Jun
449,Darryl,22,,dog,1,9-May
2300,Barry,22,2.7,cat,1,6-Apr
5167,Olivia,22,3.7,dog,0,5-Dec
3429,Raj,22,,dog,0,2-May
1355,Cheyenne,22,,hamster,0,12-Feb
3258,Ivan,22,3.8,cat,1,18-Jul
3724,Ava,22,3.2,cat,1,16-Oct
1904,Joyce,22,3.1,dog,1,4-Jun
2051,Erik,22,2,dog,1,18-Oct
4372,Raj,22,2.1,cat,1,23-Sep
4662,Ivan,22,2.9,dog,1,23-Jan
445,Andre,22,,cat,0,10-Aug
8,Fatima,22,,cat,0,23-Apr
4664,Olivia,22,3.4,cat,1,19-Feb
240,Charlene,22,2.8,parrot,1,14-Aug
4405,Olivia,22,3.9,goldfish,0,15-May
3409,Fatima,22,,dog,0,10-Jan
3243,Aisha,22,2.7,rabbit,0,17-Dec
1748,Kelli,22,2.7,rabbit,1,5-Sep
2558,Marissa,22,2.1,hamster,1,1-Oct
2282,Carolyn,22,3.1,cat,1,24-Sep
